timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
1527152726840,4,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726844,4,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726848,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726851,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726854,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726858,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726861,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726864,4,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726868,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726871,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726874,4,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726878,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726882,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726885,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726889,4,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726893,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726896,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726899,7,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726906,4,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726910,3,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
1527152726913,4,getJwtToken,500,"Exception occurred whilst executing system call: java.io.IOException: Cannot run program ""./wsgate/jwt-generator-darwin-amd64"" (in directory ""/Users/majer-dy/Documents/IDEA/jnlp-slave-jmeter""): error=2, No such file or directory",getClientBonusesList 1-1,text,false,,0,0,1,1,0,1,1,0,0
